Epoch,Training_errors,Validation_errors
227,0.000303616,0.00034978
228,0.00029949,0.000351467
229,0.000411348,0.000353762
230,0.000376009,0.000351072
231,0.000316298,0.000353494
232,0.000329833,0.000345143
233,0.000367397,0.000343584
234,0.000316982,0.000344463
235,0.000312179,0.000333992
236,0.000325538,0.000329842
237,0.000252131,0.000329339
238,0.000279388,0.000331882
239,0.000368526,0.00032433
240,0.000267471,0.000321822
241,0.00028373,0.000319981
242,0.00033524,0.000318448
243,0.000290193,0.00032344
244,0.000290638,0.000316106
245,0.000318794,0.000313577
246,0.000315386,0.000313072
247,0.00029215,0.000313048
248,0.000280309,0.000311567
249,0.000285281,0.000322293
250,0.000287693,0.000308627
251,0.000264086,0.000307451
252,0.000268863,0.000307323
253,0.000287254,0.00030788
254,0.000236709,0.000308237
255,0.000344026,0.0003013
256,0.000290934,0.000299951
257,0.000246167,0.000315419
258,0.000307776,0.000303189
259,0.000282888,0.000298165
260,0.00027435,0.000319953
261,0.000295291,0.000302971
262,0.000288464,0.000301791
263,0.000297769,0.000287376
264,0.000318683,0.00029252
265,0.000252051,0.000283017
266,0.000284866,0.000278649
267,0.000242136,0.000281762
268,0.000265188,0.000277384
269,0.000307979,0.000273657
270,0.000273214,0.000273655
271,0.00023887,0.000275556
272,0.000245108,0.000269967
273,0.000213492,0.000271015
274,0.000274676,0.000275424
275,0.000258333,0.000274572
276,0.000245935,0.000281083
277,0.000257827,0.000272478
278,0.000261738,0.00026793
279,0.000234833,0.000273976
280,0.000259039,0.000270118
281,0.000222401,0.000267393
282,0.000264611,0.000265092
283,0.000223197,0.000262681
284,0.000231598,0.000266801
285,0.000230372,0.000260078
286,0.00029343,0.000264489
287,0.000298232,0.000270565
288,0.00021064,0.000266526
289,0.000256336,0.000253789
290,0.000257805,0.000252761
291,0.000232562,0.00025252
292,0.000227726,0.000256294
293,0.000250909,0.00025196
294,0.000212033,0.000259418
295,0.00020798,0.000258326
296,0.000255604,0.000251201
297,0.000244581,0.000255793
298,0.000246177,0.000253133
299,0.000234255,0.000249607
300,0.000209083,0.000252929
301,0.000205375,0.000246477
302,0.000227672,0.000248807
303,0.000220605,0.000246222
304,0.000205946,0.000242313
305,0.000206115,0.000239809
306,0.000221787,0.000238213
307,0.000180139,0.000243549
308,0.000207932,0.000237391
309,0.000243767,0.000234516
310,0.000207357,0.000236876
311,0.000207304,0.000232467
312,0.000248207,0.000231853
313,0.000210232,0.000238338
314,0.000213759,0.000236784
315,0.000236562,0.000224772
316,0.000195125,0.000224188
317,0.000189263,0.000224031
318,0.00018254,0.000222871
319,0.00019963,0.000221614
320,0.000204008,0.000221819
321,0.000220593,0.000224086
322,0.00020769,0.000222706
323,0.00021535,0.000225205
324,0.000170784,0.000223546
325,0.000199458,0.000234656
326,0.000195988,0.000226216
327,0.000239585,0.000226377
328,0.000213375,0.000228795
329,0.000200106,0.00022291
330,0.000232566,0.000231155
331,0.00021341,0.000228429
332,0.000196359,0.00022134
333,0.0001959,0.00021882
334,0.000206653,0.000216228
335,0.000194609,0.000213602
336,0.000161158,0.00021183
337,0.000192299,0.000210551
338,0.00018322,0.000210314
339,0.000191671,0.000212919
340,0.000206414,0.000210109
341,0.000181438,0.000205674
342,0.000216375,0.000203169
343,0.000190667,0.000202581
344,0.000180499,0.000200672
345,0.000175751,0.000200062
346,0.000190406,0.000198578
347,0.000205272,0.000207323
348,0.000200808,0.000194341
349,0.000161519,0.00019539
350,0.000172501,0.000189418
351,0.000181026,0.000224817
352,0.000192911,0.000200075
353,0.000217952,0.000188136
354,0.000185173,0.000197651
355,0.000194985,0.000190308
356,0.000146796,0.000188052
357,0.000187887,0.000194367
358,0.000183384,0.000183737
359,0.000191704,0.000181238
360,0.000140099,0.000178526
361,0.000175055,0.000177548
362,0.000193544,0.000177611
363,0.000182603,0.000174605
364,0.00016644,0.000174017
365,0.00019531,0.000172883
366,0.000181101,0.000170079
367,0.000186522,0.000169481
368,0.000193409,0.000171009
369,0.000168556,0.000171603
370,0.000149608,0.000166992
371,0.00017081,0.000168728
372,0.000180526,0.000165841
373,0.000151109,0.000175223
374,0.000172215,0.000173807
375,0.000169901,0.000166149
376,0.000133385,0.000163629
377,0.000162524,0.000164991
378,0.000139124,0.000168832
379,0.000160077,0.000166123
380,0.000138331,0.000176251
381,0.000157264,0.000170229
382,0.000141335,0.000163835
383,0.000155033,0.000174262
384,0.000149189,0.000164217
385,0.000151467,0.0001618
386,0.000153426,0.000159424
387,0.000160425,0.000161536
388,0.000162997,0.000157799
389,0.000167685,0.000158298
390,0.000125893,0.000159258
391,0.000163687,0.000158861
392,0.00013283,0.000158999
393,0.000126883,0.000156736
394,0.000153504,0.000156533
395,0.000166438,0.000160832
396,0.000158048,0.000154129
397,0.000148541,0.000162114
398,0.000164382,0.000161064
399,0.000129774,0.000163089
400,0.000164828,0.00015132
401,0.000153741,0.000153206
402,0.00013924,0.000150841
403,0.000142156,0.000150108
404,0.000166506,0.000152347
405,0.000127728,0.000148754
406,0.000140516,0.000148987
407,0.000146514,0.000157874
408,0.000127774,0.000147438
409,0.000157308,0.000154427
410,0.000156121,0.000144688
411,0.000123973,0.000145948
412,0.000154206,0.000144099
413,0.000131154,0.000143895
414,0.000145406,0.000147073
415,0.000148059,0.000144857
416,0.000136157,0.000165852
417,0.000155512,0.000151985
418,0.000139568,0.000146717
419,0.000136686,0.00014166
420,0.000115171,0.000140412
421,0.000115698,0.000139449
422,0.000138988,0.000144835
423,0.00014709,0.000152115
424,0.000126755,0.000144367
425,0.000148611,0.000148379
426,0.000146316,0.000138868
427,0.000138807,0.000136683
428,0.000126629,0.000135557
429,0.00013229,0.000141625
430,0.000140413,0.000135411
431,0.00012638,0.000143139
432,0.00013952,0.000139704
433,0.000113804,0.000136776
434,0.000123653,0.000132872
435,0.000132156,0.00013556
436,0.000113843,0.000131377
437,0.00012737,0.000130444
438,0.000126368,0.000136358
439,0.000134286,0.000133053
440,0.000132383,0.000138023
441,0.000131539,0.000130888
442,0.000112603,0.000127005
443,0.000139732,0.000129587
444,0.000129407,0.000131422
445,0.000132412,0.000127534
446,0.00013454,0.000128823
447,0.000107992,0.000123171
448,0.00011222,0.000122249
449,0.000119573,0.000122248
450,0.000127979,0.000122765
451,0.000128026,0.000124311
452,0.000123819,0.000124291
453,0.000123127,0.000125726
454,0.000127921,0.00012433
455,0.000122719,0.000125761
456,0.00010594,0.00012385
457,0.000101271,0.000123587
458,0.000119211,0.000122794
459,0.000131945,0.000129931
460,0.000113357,0.000125521
461,0.000115023,0.000120206
462,0.000120541,0.000117113
463,0.000134005,0.000118113
464,9.82758E-05,0.000125685
465,0.000131361,0.000118892
466,0.000128695,0.000120812
467,0.000112573,0.000115647
468,0.000119847,0.000117532
469,0.000113763,0.000113932
470,0.000122332,0.000113743
471,0.000102104,0.000114658
472,0.000100885,0.000116038
473,0.000109356,0.000113702
474,0.000100549,0.000115826
475,0.000102806,0.000113042
476,0.0001202,0.000113978
477,0.000103162,0.000113552
478,0.000118315,0.000118954
479,0.000111001,0.000118523
480,0.00010834,0.000114542
481,0.000118336,0.000115045
482,0.000123142,0.000119735
483,0.000102273,0.000119188
484,0.000112837,0.000119759
485,0.000131017,0.000143953
486,0.000103193,0.00011478
487,0.000115595,0.000111673
488,0.000112048,0.000111609
489,0.000112782,0.000111529
490,0.00011561,0.000109437
491,0.000107847,0.000108947
492,0.000105934,0.000109343
493,9.89547E-05,0.000114701
494,0.000116463,0.000104925
495,9.55053E-05,0.000107747
496,8.83297E-05,0.000103413
497,0.000132116,0.000109212
498,0.000100214,0.000102801
499,0.000113061,0.000102068
500,0.000109198,0.000107984
501,0.000107529,0.000105964
502,0.000133167,0.000112893
503,0.00011992,0.000114648
504,0.000108053,0.000103049
505,9.97891E-05,0.0001029
506,9.64353E-05,9.66189E-05
507,8.43534E-05,9.88525E-05
508,0.000103244,9.58191E-05
509,9.99136E-05,0.000111886
510,8.61954E-05,9.6235E-05
511,0.000100068,9.66098E-05
512,9.86007E-05,0.000100135
513,9.72188E-05,9.71968E-05
514,0.000100426,9.63539E-05
515,8.18508E-05,9.58589E-05
516,9.07942E-05,9.64983E-05
517,8.7462E-05,9.63937E-05
518,9.41539E-05,9.58487E-05
519,0.000106691,0.000109369
520,0.00010994,9.40596E-05
521,9.7679E-05,9.36626E-05
522,0.000101661,9.68702E-05
523,0.000110055,0.0001234
524,9.44314E-05,9.60448E-05
525,9.01448E-05,0.00010637
526,8.63807E-05,9.52313E-05
527,8.4981E-05,0.000102878
528,0.000109682,0.000107712
529,8.44134E-05,9.64493E-05
530,8.60434E-05,9.38484E-05
531,8.6694E-05,9.25157E-05
532,0.000121856,0.000130152
533,9.60394E-05,0.000104596
534,9.28187E-05,9.25678E-05
535,9.09671E-05,9.70303E-05
536,0.000101769,9.28064E-05
537,8.43856E-05,9.18583E-05
538,7.60968E-05,8.99259E-05
539,9.84403E-05,8.96236E-05
540,0.00010052,0.000103285
541,9.49261E-05,9.63225E-05
542,0.0001002,0.000104375
543,8.44314E-05,8.70201E-05
544,9.84281E-05,8.64684E-05
545,9.6741E-05,9.58879E-05
546,9.30382E-05,8.83621E-05
547,8.34051E-05,8.64826E-05
548,9.22078E-05,9.1202E-05
549,8.98913E-05,8.63434E-05
550,9.20976E-05,8.66072E-05
551,8.08352E-05,9.01797E-05
552,7.84168E-05,8.59807E-05
553,8.54465E-05,8.36224E-05
554,9.14696E-05,8.78628E-05
555,7.84528E-05,8.48075E-05
556,8.74479E-05,8.5945E-05
557,0.000101594,0.000104053
558,9.52485E-05,8.4064E-05
559,8.40243E-05,9.13059E-05
560,7.56907E-05,8.66347E-05
561,8.33151E-05,8.42183E-05
562,9.95761E-05,8.55911E-05
