Epoch,Training_errors,Validation_errors
0,0.015656641,0.013589597
1,0.011502832,0.012007301
2,0.011039929,0.009942407
3,0.009937813,0.009455866
4,0.009128984,0.008553147
5,0.009317492,0.00898928
6,0.008428169,0.008151018
7,0.008304136,0.007588482
8,0.008268745,0.007396293
9,0.008293395,0.007336174
10,0.007179377,0.007128433
11,0.007330095,0.006984507
12,0.007400686,0.006747047
13,0.006293562,0.006704048
14,0.006451738,0.006441721
15,0.006596315,0.006284252
16,0.006329011,0.00629173
17,0.006405378,0.006341686
18,0.006246969,0.006081033
19,0.006219485,0.005948361
20,0.005616807,0.005889769
21,0.006048102,0.005806495
22,0.006094326,0.005698742
23,0.005613095,0.005614642
24,0.005588128,0.005651688
25,0.00609193,0.005441259
26,0.00602949,0.005429099
27,0.006150908,0.005426943
28,0.005396772,0.005311227
29,0.005300046,0.005290284
30,0.006049598,0.005248167
31,0.005344932,0.005179353
32,0.004902218,0.005051498
33,0.00474345,0.004943957
34,0.005025375,0.004933749
35,0.004772325,0.0048602
36,0.004871658,0.00490602
37,0.004959906,0.004904569
38,0.004783692,0.004820545
39,0.004031973,0.00478203
40,0.00423934,0.004727099
41,0.004477575,0.004681989
42,0.004048391,0.004649982
43,0.004699494,0.004632553
44,0.004067243,0.004595303
45,0.004494908,0.004514749
46,0.004477236,0.004393753
47,0.004182563,0.004401362
48,0.004283018,0.004523731
49,0.004331898,0.004281592
50,0.004022906,0.004359314
51,0.003909027,0.004250913
52,0.004092968,0.004206684
53,0.004410855,0.004231933
54,0.003995213,0.004131374
55,0.003439383,0.004112368
56,0.003974707,0.004109006
57,0.00386045,0.004268965
58,0.004021526,0.004106022
59,0.003467548,0.004031166
60,0.003962905,0.004065236
61,0.003482894,0.004002821
62,0.003979169,0.00400854
63,0.003998541,0.0039048
64,0.00356791,0.003866405
65,0.003923588,0.003801696
66,0.003569774,0.003737231
67,0.003546249,0.003702329
68,0.003399766,0.003716366
69,0.003957497,0.003713104
70,0.003373323,0.003587137
71,0.003601954,0.003554253
72,0.003252329,0.003533348
73,0.002956676,0.00353035
74,0.003140648,0.003517512
75,0.003386868,0.003555628
76,0.003230966,0.003492247
77,0.003513834,0.003474793
78,0.003423294,0.003509049
79,0.003117307,0.00346056
80,0.003267688,0.003395085
81,0.003029563,0.003355675
82,0.003178704,0.003312098
83,0.003201927,0.003280757
84,0.003100362,0.003252226
85,0.003035198,0.003288804
86,0.003403316,0.003220303
87,0.003149296,0.003170278
88,0.002995836,0.003120021
89,0.002902567,0.00308825
90,0.003057449,0.003059664
91,0.002882373,0.003036014
92,0.003318446,0.003005343
93,0.003161669,0.002982954
94,0.003050355,0.002948932
95,0.002844291,0.002932148
96,0.003231473,0.002953636
97,0.002801924,0.002917651
98,0.002773499,0.002927932
99,0.002872996,0.002868197
100,0.002830817,0.002868278
101,0.00267043,0.00286426
102,0.002353222,0.002835156
103,0.002869636,0.002819978
104,0.002656899,0.002832079
105,0.002534731,0.002871617
106,0.002460991,0.002910823
107,0.002404159,0.002783551
108,0.002678543,0.00276928
109,0.002824202,0.002814374
110,0.002807668,0.002808634
111,0.002998083,0.002692391
112,0.002386498,0.002640974
113,0.002404569,0.002665275
114,0.002755777,0.002677775
115,0.002193896,0.002590227
116,0.002422443,0.002559955
117,0.002662203,0.002530913
118,0.002363117,0.002556382
119,0.002085672,0.0025113
120,0.002448377,0.002477161
121,0.002297354,0.002435845
122,0.002825765,0.002432917
123,0.002407335,0.002428717
124,0.002494021,0.002439775
125,0.002159615,0.002355692
126,0.002306282,0.00233025
127,0.002518112,0.002386839
128,0.001940747,0.002364209
129,0.002133645,0.002301169
130,0.002264889,0.002263713
131,0.00224107,0.002297924
132,0.002082822,0.002230527
133,0.002052547,0.002216984
134,0.001945428,0.002241342
135,0.002019325,0.002222399
136,0.002111214,0.002165256
137,0.002172873,0.002170611
138,0.001980267,0.002126551
139,0.001866531,0.002214568
140,0.002386412,0.002104441
141,0.001853127,0.00209344
142,0.002121684,0.002063238
143,0.002115769,0.002074729
144,0.001841903,0.002008585
145,0.002167706,0.001996818
146,0.002048725,0.001959828
147,0.001747496,0.001953505
148,0.002171789,0.001934809
149,0.001659169,0.001980087
150,0.002152457,0.001906657
151,0.001858301,0.002045037
152,0.001731935,0.001885205
153,0.001968396,0.00188677
154,0.001967227,0.001821136
155,0.001945207,0.001807195
156,0.001792537,0.001787861
157,0.001862659,0.001778638
158,0.001728433,0.00177732
159,0.001919337,0.001753686
160,0.001823026,0.001777974
161,0.00175257,0.001743727
162,0.001825156,0.001771592
163,0.001793915,0.001692261
164,0.0019843,0.00165833
165,0.001522469,0.001683061
166,0.001562222,0.001653846
167,0.001661283,0.001651595
168,0.001570172,0.001639341
169,0.001808458,0.001653015
170,0.001663887,0.001627272
171,0.001626651,0.001572152
172,0.001634066,0.001609248
173,0.001554933,0.0015927
174,0.001942759,0.00155163
175,0.001507218,0.001560287
176,0.001695173,0.00154917
177,0.00157478,0.001543529
178,0.001476607,0.001505057
179,0.001304563,0.001493065
180,0.001571712,0.001481302
181,0.001748129,0.001488904
182,0.001468037,0.001459647
183,0.001368612,0.001452539
184,0.001560483,0.001453871
185,0.001592354,0.001466464
186,0.001482459,0.001475796
187,0.001592464,0.001409696
188,0.001367861,0.001407353
189,0.001538001,0.001403517
190,0.001440545,0.001390086
191,0.001781511,0.001419034
192,0.0013743,0.001351202
193,0.001412703,0.001336051
194,0.001351267,0.00133552
195,0.001476288,0.001342563
196,0.001353563,0.001330386
197,0.001366755,0.001367486
198,0.001592705,0.001304978
199,0.001566226,0.001315351
200,0.001690622,0.001401077
201,0.00152769,0.001321353
202,0.00135804,0.001285559
203,0.001290211,0.00131789
204,0.001439229,0.001299185
205,0.001317411,0.001244104
206,0.001336424,0.001221532
207,0.001295277,0.001214357
208,0.001479244,0.001208313
209,0.001391119,0.001245306
210,0.001414013,0.00121482
211,0.001239662,0.00119223
212,0.001568937,0.001268156
213,0.001298787,0.001190178
214,0.001229229,0.001197058
215,0.001224877,0.001185679
216,0.001164096,0.001168254
217,0.00122096,0.001159893
218,0.001145204,0.001156326
219,0.001255564,0.001145659
220,0.001312153,0.00114261
221,0.001249435,0.001147997
222,0.001223568,0.001154919
223,0.001385618,0.001127465
224,0.001204995,0.001124074
225,0.001207524,0.001123327
226,0.001097764,0.001118755
227,0.001257911,0.001153282
228,0.00141696,0.001103396
229,0.001267644,0.001085696
230,0.001144499,0.001084938
231,0.001193303,0.001068057
232,0.001159407,0.001159752
233,0.001244638,0.001054333
234,0.001105959,0.001059483
235,0.00112586,0.001047617
236,0.001115741,0.001057627
237,0.001135066,0.001044547
238,0.00115433,0.001042265
239,0.001125898,0.001023834
240,0.001105772,0.001034853
241,0.001039321,0.001015092
242,0.001185244,0.001018749
243,0.001169269,0.001076244
244,0.001195428,0.001008288
245,0.001111355,0.00099707
246,0.0010442,0.00100775
247,0.001053576,0.000994033
248,0.001085263,0.000997907
249,0.001080246,0.001001293
250,0.001156693,0.000993442
251,0.001187512,0.000994674
252,0.001109443,0.000987749
253,0.001131607,0.001021574
254,0.000971291,0.000982059
255,0.00096052,0.000974028
256,0.001144679,0.00110188
257,0.001035592,0.000991853
258,0.000946526,0.000978175
259,0.001117476,0.000974383
260,0.000993185,0.000977805
261,0.001089669,0.001020259
262,0.00100329,0.0009676
263,0.000927223,0.000958903
264,0.000990555,0.000956877
265,0.000958058,0.00094797
266,0.001080288,0.001006398
267,0.001085894,0.001042048
268,0.001058029,0.00093811
269,0.001006091,0.000956335
270,0.00096157,0.000946178
271,0.000918914,0.000928939
272,0.000998153,0.000933224
273,0.000993599,0.001030584
274,0.001002449,0.000915209
275,0.000893659,0.000907838
276,0.000926187,0.00090763
277,0.000932361,0.000922557
278,0.001044348,0.000907879
279,0.00091993,0.000957119
280,0.000999487,0.000904821
281,0.000926331,0.00090076
282,0.000951303,0.000888737
283,0.000866676,0.000881528
284,0.000897265,0.000885186
285,0.00099747,0.000873913
286,0.000956224,0.000885138
287,0.000882449,0.000865785
288,0.000880202,0.000887053
289,0.000926233,0.000902053
290,0.00086757,0.000902531
291,0.001011025,0.000919853
292,0.000972706,0.000849931
293,0.000956285,0.000872359
294,0.001031935,0.000898882
295,0.000953123,0.000839611
296,0.000850927,0.000851636
297,0.000886588,0.000841339
